market,ds,y,yhat_lower,yhat,yhat_upper
Australia SA,2019-03-20,NA,NA,NA,NA
Australia SA,2019-03-21,NA,NA,NA,NA
Australia SA,2019-03-22,271.55557251,NA,NA,NA
Australia SA,2019-03-23,NA,NA,NA,NA
Australia SA,2019-03-24,NA,NA,NA,NA
Australia SA,2019-03-25,234.023803711,NA,NA,NA
Australia SA,2019-03-26,250.471420288,NA,NA,NA
Australia SA,2019-03-27,237.265304565,NA,NA,NA
Australia SA,2019-03-28,184.354171753,NA,NA,NA
Australia SA,2019-03-29,264.846160889,NA,NA,NA
Australia SA,2019-03-31,NA,NA,NA,NA
Australia SA,2019-04-01,296.881713867,NA,NA,NA
Australia SA,2019-04-02,331.899993896,NA,NA,NA
Australia SA,2019-04-03,261.014068604,NA,NA,NA
Australia SA,2019-04-04,306.76473999,NA,NA,NA
Australia SA,2019-04-05,251.647064209,NA,NA,NA
Australia SA,2019-04-06,NA,NA,NA,NA
Australia SA,2019-04-07,NA,NA,NA,NA
Australia SA,2019-04-08,222.550720215,NA,NA,NA
Australia SA,2019-04-09,204.825592041,NA,NA,NA
Australia SA,2019-04-10,243.318832397,NA,NA,NA
Australia SA,2019-04-11,258.569610596,NA,NA,NA
Australia SA,2019-04-12,202.300003052,NA,NA,NA
Australia SA,2019-04-13,NA,NA,NA,NA
Australia SA,2019-04-14,NA,NA,NA,NA
Australia SA,2019-04-15,301.647491455,NA,NA,NA
Australia SA,2019-04-16,348.188903809,NA,NA,NA
Australia SA,2019-04-17,382.213134766,NA,NA,NA
Australia SA,2019-04-18,463.761901855,NA,NA,NA
Australia SA,2019-04-19,434.857147217,NA,NA,NA
Australia SA,2019-04-20,NA,NA,NA,NA
Australia SA,2019-04-21,NA,NA,NA,NA
Australia SA,2019-04-22,338.339294434,NA,NA,NA
Australia SA,2019-04-23,342.81817627,NA,NA,NA
Australia SA,2019-04-24,429.642852783,NA,NA,NA
Australia SA,2019-04-25,273.295440674,NA,NA,NA
Australia SA,2019-04-26,248.071426392,NA,NA,NA
Australia SA,2019-04-27,NA,NA,NA,NA
