market,ds,y,yhat_lower,yhat,yhat_upper
Australia,2017-07-01,0,NA,NA,NA
Australia,2017-07-02,0,NA,NA,NA
Australia,2017-07-03,675,NA,NA,NA
Australia,2017-07-04,0,NA,NA,NA
Australia,2017-07-05,690,NA,NA,NA
Australia,2017-07-06,568,NA,NA,NA
Australia,2017-07-07,158,NA,NA,NA
Australia,2017-07-08,0,NA,NA,NA
Australia,2017-07-09,0,NA,NA,NA
Australia,2017-07-10,955,NA,NA,NA
Australia,2017-07-11,724,NA,NA,NA
Australia,2017-07-12,753,NA,NA,NA
Australia,2017-07-13,700,NA,NA,NA
Australia,2017-07-14,240,NA,NA,NA
Australia,2017-07-15,0,NA,NA,NA
Australia,2017-07-16,0,NA,NA,NA
Australia,2017-07-17,1004,NA,NA,NA
Australia,2017-07-18,615,NA,NA,NA
Australia,2017-07-19,538,NA,NA,NA
Australia,2017-07-20,474,NA,NA,NA
Australia,2017-07-21,122,NA,NA,NA
Australia,2017-07-22,2,NA,NA,NA
Australia,2017-07-23,0,NA,NA,NA
Australia,2017-07-24,621,NA,NA,NA
Australia,2017-07-25,437,NA,NA,NA
Australia,2017-07-26,470,NA,NA,NA
Australia,2017-07-27,414,NA,NA,NA
Australia,2017-07-28,179,NA,NA,NA
Australia,2017-07-29,1,NA,NA,NA
Australia,2017-07-30,0,NA,NA,NA
Australia,2017-07-31,696,NA,NA,NA
Australia,2017-08-01,600,NA,NA,NA
Australia,2017-08-02,496,NA,NA,NA
Australia,2017-08-03,452,NA,NA,NA
Australia,2017-08-04,125,NA,NA,NA
Australia,2017-08-05,0,NA,NA,NA
Australia,2017-08-06,0,NA,NA,NA
Australia,2017-08-07,821,NA,NA,NA
Australia,2017-08-08,583,NA,NA,NA
Australia,2017-08-09,551,NA,NA,NA
Australia,2017-08-10,583,NA,NA,NA
Australia,2017-08-11,167,NA,NA,NA
Australia,2017-08-12,1,NA,NA,NA
Australia,2017-08-13,0,NA,NA,NA
Australia,2017-08-14,1180,NA,NA,NA
Australia,2017-08-15,679,NA,NA,NA
Australia,2017-08-16,488,NA,NA,NA
Australia,2017-08-17,500,NA,NA,NA
Australia,2017-08-18,123,NA,NA,NA
Australia,2017-08-19,0,NA,NA,NA
Australia,2017-08-20,0,NA,NA,NA
Australia,2017-08-21,1268,NA,NA,NA
Australia,2017-08-22,918,NA,NA,NA
Australia,2017-08-23,1209,NA,NA,NA
Australia,2017-08-24,607,NA,NA,NA
Australia,2017-08-25,215,NA,NA,NA
Australia,2017-08-26,0,NA,NA,NA
Australia,2017-08-27,0,NA,NA,NA
Australia,2017-08-28,893,NA,NA,NA
Australia,2017-08-29,565,NA,NA,NA
Australia,2017-08-30,582,NA,NA,NA
Australia,2017-08-31,591,NA,NA,NA
Australia,2017-09-01,217,NA,NA,NA
Australia,2017-09-02,0,NA,NA,NA
Australia,2017-09-03,0,NA,NA,NA
Australia,2017-09-04,1370,NA,NA,NA
Australia,2017-09-05,885,NA,NA,NA
Australia,2017-09-06,839,NA,NA,NA
Australia,2017-09-07,814,NA,NA,NA
Australia,2017-09-08,206,NA,NA,NA
Australia,2017-09-09,1,NA,NA,NA
Australia,2017-09-10,0,NA,NA,NA
Australia,2017-09-11,1320,NA,NA,NA
Australia,2017-09-12,1011,NA,NA,NA
Australia,2017-09-13,959,NA,NA,NA
Australia,2017-09-14,129,NA,NA,NA
Australia,2017-09-15,255,NA,NA,NA
Australia,2017-09-16,0,NA,NA,NA
Australia,2017-09-17,0,NA,NA,NA
Australia,2017-09-18,1131,NA,NA,NA
Australia,2017-09-19,770,NA,NA,NA
Australia,2017-09-20,606,NA,NA,NA
Australia,2017-09-21,624,NA,NA,NA
Australia,2017-09-22,181,NA,NA,NA
Australia,2017-09-23,0,NA,NA,NA
Australia,2017-09-24,0,NA,NA,NA
Australia,2017-09-25,965,NA,NA,NA
Australia,2017-09-26,582,NA,NA,NA
Australia,2017-09-27,564,NA,NA,NA
Australia,2017-09-28,490,NA,NA,NA
Australia,2017-09-29,158,NA,NA,NA
Australia,2017-09-30,1,NA,NA,NA
Australia,2017-10-01,0,NA,NA,NA
Australia,2017-10-02,997,NA,NA,NA
Australia,2017-10-03,707,NA,NA,NA
Australia,2017-10-04,659,NA,NA,NA
Australia,2017-10-05,681,NA,NA,NA
Australia,2017-10-06,158,NA,NA,NA
Australia,2017-10-07,0,NA,NA,NA
